id	context	predictions	aggregatedPredictions	category
450	A1 Switches in G.O.P. cost Democrats big margin B10 A lesbian was ordained to the priesthood by an Episcopal Bishop, in an action that is certain to provoke new debate over homosexuality and the clergy.	[[0.18,0.563,0.167,0.057,0.033]]	[0.18,0.563,0.167,0.057,0.033]	negative
451	Navy Dismissal Upheld A Federal appeals court has endorsed the United States Naval Academy's dismissal of a midshipman in 1987 after he acknowledged that he was a homosexual.	[[0.125,0.368,0.17,0.234,0.103]]	[0.125,0.368,0.17,0.234,0.103]	negative
452	But homosexual rights groups point out that, in Hollywood movies, heterosexuals are never defined as evil or irrelevant simply because of their sexuality.	[[0.198,0.654,0.131,0.011,0.006]]	[0.198,0.654,0.131,0.011,0.006]	negative
453	He was finally introduced to the 1895 scandal in which his paternal grandfather, the celebrated Victorian playwright and esthete Oscar Wilde, was convicted in London of gross indecency -- homosexuality -- and sentenced to two years in prison at hard labor. ''	[[0.108,0.627,0.237,0.02,0.007]]	[0.108,0.627,0.237,0.02,0.007]	negative
454	2 National 6-9 HOMOSEXUALS WARN CLINTON Advocates for homosexual rights warned that if President Clinton did not better demonstrate support for homosexuals in the military, a march on Washington next month would turn	[[0.197,0.616,0.169,0.01,0.008]]	[0.197,0.616,0.169,0.01,0.008]	negative
455	(Op-Ed, March 12): In the book "The Sexual Continuum," the British geneticist Winston Holt notes that all of us fall between two continuum terminals: the complete heterosexual and the complete homosexual, with the true bisexual at the center.	[[0.325,0.556,0.098,0.009,0.013]]	[0.325,0.556,0.098,0.009,0.013]	negative
456	THE APPARITIONAL LESBIAN Female Homosexuality and Modern Culture.	[[0.096,0.505,0.28,0.09,0.029]]	[0.096,0.505,0.28,0.09,0.029]	negative
457	The policy allows gay soldiers to acknowledge homosexual feelings but only if they can demonstrate that they are not engaging in homosexual behavior.	[[0.091,0.648,0.226,0.029,0.007]]	[0.091,0.648,0.226,0.029,0.007]	negative
458	Aaron J. McKinney killed a gay student at the University of Wyoming last year in ''a five-minute emotional rage'' because the student, Matthew Shepard, had made sexual advances that reminded him of homosexual abuse he had suffered as a child, Mr. McKinney's lawyer told a jury today as his murder trial began here.	[[0.168,0.607,0.179,0.03,0.016]]	[0.168,0.607,0.179,0.03,0.016]	negative
459	In Denver, a judge has just made permanent an injunction against enforcing Colorado's 1992 referendum that carried the innocent title, "No protected status based on homosexual, lesbian or bisexual orientation."	[[0.111,0.709,0.156,0.019,0.006]]	[0.111,0.709,0.156,0.019,0.006]	negative
460	When Armstrong Williams, a conservative talk show host, asked him whether homosexuality was a sin, the Mississippi Republican replied, ''Yes, it is.''	[[0.14,0.788,0.063,0.005,0.003]]	[0.14,0.788,0.063,0.005,0.003]	negative
461	Two drunken shipmates followed him into a public restroom and methodically beat him, provoked only by the knowledge of his homosexuality.	[[0.181,0.654,0.128,0.023,0.014]]	[0.181,0.654,0.128,0.023,0.014]	negative
462	The narrator of this novel, Kenneth Marchal Toomey, is an elderly author, Roman Catholic and homosexual, who has lived long enough to witness most of the disasters of the 20th century.	[[0.115,0.617,0.209,0.046,0.013]]	[0.115,0.617,0.209,0.046,0.013]	negative
463	It admonishes commanders not to ask individuals about their sexual orientation and homosexuals not to reveal it.	[[0.082,0.384,0.376,0.127,0.031]]	[0.082,0.384,0.376,0.127,0.031]	negative
464	When the awkward political compromise known as ''don't ask, don't tell'' became official Government policy toward homosexuals in the military, Lieut. Paul G. Thomasson, a 10-year Navy veteran and highly rated pilot, decided to tell.	[[0.479,0.285,0.199,0.023,0.014]]	[0.479,0.285,0.199,0.023,0.014]	very negative
465	To modern audiences Oscar Wilde may seem only as great as his tragedy -- his conviction and imprisonment for committing homosexual acts.	[[0.066,0.352,0.272,0.26,0.05]]	[0.066,0.352,0.272,0.26,0.05]	negative
466	An openly homosexual couple wants to rent it.	[[0.059,0.357,0.292,0.252,0.039]]	[0.059,0.357,0.292,0.252,0.039]	negative
467	The American Medical Association has urged doctors to seek a greater understanding of their homosexual and bisexual patients, saying that health care is enhanced by "the physician's nonjudgmental recognition of sexual orientation and behavior."	[[0.006,0.013,0.115,0.685,0.181]]	[0.006,0.013,0.115,0.685,0.181]	positive
468	Gay Troops: Vote on an amendment to a Defense Department authorization bill that appproves a policy on homosexuals in the military, prohibiting homosexual conduct but halting questions of recruits about their sexual orientation.	[[0.252,0.569,0.165,0.008,0.006]]	[0.252,0.569,0.165,0.008,0.006]	negative
469	Some possible portents of doom: a recording that advertises Beethoven's Fifth Symphony as "the 'Star Wars' of symphonic music" and Ludwig van B. himself as the Kurt Cobain of his generation; a famous young virtuoso playing "The Four Seasons" in a music video broadcast on the Weather Channel; arousing anthologies of "Sensual Classics" aimed at heterosexual or homosexual listeners; disks of Arvo Part's music stamped with a descriptive blurb from Michael Stipe of R.E.M. ("A house on fire and an infinite calm," Mr. Stipe says, perhaps also describing the atmosphere in major-label boardrooms.)	[[0.198,0.625,0.16,0.011,0.006]]	[0.198,0.625,0.16,0.011,0.006]	negative
470	He said this while announcing that discharges of homosexuals have increased by 67 percent since 1994.	[[0.07,0.528,0.282,0.102,0.018]]	[0.07,0.528,0.282,0.102,0.018]	negative
471	Six days before the U.S.S. Belleau Wood arrived at this sleepy American naval base last Sept. 30, Allen R. Schindler, a 22-year-old radioman, ended months of inner turmoil and told his commander that he was homosexual.	[[0.174,0.642,0.168,0.009,0.007]]	[0.174,0.642,0.168,0.009,0.007]	negative
472	A 16-year-old high school student in Laurel, Miss., was charged yesterday with murder in the slayings of two homosexuals, a case that gay rights groups fear constitutes a hate crime.	[[0.312,0.53,0.123,0.017,0.018]]	[0.312,0.53,0.123,0.017,0.018]	negative
473	I find it deplorable that unmarried partners -- whether heterosexual or homosexual -- continually have to fight for recognition.	[[0.135,0.637,0.179,0.036,0.014]]	[0.135,0.637,0.179,0.036,0.014]	negative
474	To the Editor: Contrary to Dr. Irving Bieber's "important finding," as Dr. Myron Glucksman alleges (letter, Sept. 19), the claim that "homosexuals who wish to change their sexual orientation can through psychoanalytic treatment" has no scientific merit.	[[0.32,0.463,0.198,0.01,0.01]]	[0.32,0.463,0.198,0.01,0.01]	negative
475	For example, he equates those who find among Henry James's social chronicles a ''series of allusions to his own secretive experiences with a homosexual love'' to other reductive trends in contemporary criticism, including a swipe at those who see Genesis as merely ''stories about dysfunctional families.''	[[0.147,0.685,0.087,0.061,0.021]]	[0.147,0.685,0.087,0.061,0.021]	negative
476	Bishop Spong has the right to publish his speculations that Paul was a secret homosexual, but overlooking significant medical literature speaks poorly for his scholarship.	[[0.224,0.583,0.175,0.01,0.008]]	[0.224,0.583,0.175,0.01,0.008]	negative
477	In a case that homosexual groups say typifies the increasing violence against gay people, two men were charged on Monday with murdering a man in Queens last summer.	[[0.073,0.364,0.203,0.314,0.045]]	[0.073,0.364,0.203,0.314,0.045]	negative
478	Others were given by individuals heartened about acceptance of their homosexuality and emboldened, like Ellen, to declare themselves gay.	[[0.272,0.554,0.111,0.036,0.026]]	[0.272,0.554,0.111,0.036,0.026]	negative
479	Violence aimed at homosexuals rose sharply in six American cities last year, including a 65 percent increase in attacks reported in New York City, according to a study released yesterday by a gay-rights advocacy group.	[[0.04,0.191,0.238,0.444,0.088]]	[0.04,0.191,0.238,0.444,0.088]	positive
480	Mr. Mitchell, who is now appearing to sterling notices as a young man coming of age as a homosexual in Larry Kramer's autobiographical play "The Destiny of Me," was at the time a fledgling actor just out of college.	[[0.195,0.593,0.185,0.016,0.012]]	[0.195,0.593,0.185,0.016,0.012]	negative
481	The longtime sponsor of the St. Patrick's Day Parade contended in court yesterday that New York City was threatening this year's march by insisting that a homosexual organization be allowed to participate.	[[0.173,0.595,0.18,0.034,0.017]]	[0.173,0.595,0.18,0.034,0.017]	negative
482	Gay-rights advocates say homosexuals are being outed and ousted in defiance of the policy; the Pentagon says recruits are declaring their sexuality to leave the military.	[[0.247,0.649,0.091,0.006,0.007]]	[0.247,0.649,0.091,0.006,0.007]	negative
483	A Federal district judge today blocked the Pentagon from discharging six gay service members who had challenged the military's new policy on homosexuals.	[[0.115,0.542,0.243,0.073,0.027]]	[0.115,0.542,0.243,0.073,0.027]	negative
484	The sodomy charges against the officer, Maj. Debra L. Meeks, 41, were based on an accusation that she had had a homosexual relationship over two years with Pamela J. Dillard, a civilian.	[[0.376,0.497,0.075,0.019,0.033]]	[0.376,0.497,0.075,0.019,0.033]	negative
485	The Clinton Administration has decided to fight a court ruling that threw out the old military policy under which service members could be dismissed for simply declaring their homosexuality.	[[0.051,0.377,0.427,0.124,0.021]]	[0.051,0.377,0.427,0.124,0.021]	neutral
486	It starred Harry Hamlin as a homosexual home-wrecker who inserts himself between the happily married Kate Jackson and Michael Ontkean.	[[0.096,0.503,0.33,0.055,0.016]]	[0.096,0.503,0.33,0.055,0.016]	negative
487	The rationale is that the presence of known homosexuals would undermine morale and discipline and would unfairly invade the privacy of heterosexuals who do not want to share close quarters with individuals of the same sex who might find them sexually attractive.	[[0.158,0.617,0.191,0.023,0.01]]	[0.158,0.617,0.191,0.023,0.01]	negative
488	"If homosexuals come in, I'm going out," said John Kaisner, a 22-year-old airman from nearby F.E. Warren Air Force Base, as he slapped a fist on the table and lifted another beer.	[[0.306,0.571,0.085,0.025,0.012]]	[0.306,0.571,0.085,0.025,0.012]	negative
489	The Christian Church (Disciples of Christ), a generally liberal Protestant denomination with one million members, yesterday rejected as head of the church a candidate who had refused to declare that homosexual acts were always sinful and that sexually active homosexuals should not be ordained.	[[0.644,0.291,0.051,0.003,0.012]]	[0.644,0.291,0.051,0.003,0.012]	very negative
490	Although the screen adaptation remains more or less faithful to Marlowe's text, Mr. Jarman has augmented the drama with provocative visualizations of homosexual love and the persecution of gay people that infuse the play with sex, sadomasochistic violence and a hysterically pitched moral fury.	[[0.155,0.549,0.259,0.026,0.01]]	[0.155,0.549,0.259,0.026,0.01]	negative
491	The Defense Department has ordered the suspension of its policy against homosexuals in the military pending an appeal of a Federal judge's order banning discrimination against homosexuals.	[[0.124,0.617,0.193,0.049,0.018]]	[0.124,0.617,0.193,0.049,0.018]	negative
492	American acceptance of gay men and lesbians has swelled substantially in recent years, as has support for their civil rights, but a majority of the population still disapproves of homosexuality, according to a study released on Friday by the National Gay and Lesbian Task Force, an advocacy group based in Washington.	[[0.291,0.512,0.166,0.015,0.016]]	[0.291,0.512,0.166,0.015,0.016]	negative
493	To the Editor: In ''Study of Sex Experiencing 2d Revolution'' (front page, Dec. 28), Richard A. Posner, chief judge of the Federal Court of Appeals for the Seventh Circuit in Chicago, describes Plato's ''Symposium'' as a defense of homosexual love.	[[0.108,0.635,0.236,0.017,0.004]]	[0.108,0.635,0.236,0.017,0.004]	negative
494	Michael Portillo, widely considered to have a very good chance of becoming the next leader of Britain's Conservative Party, astounded the country's political establishment today by announcing that he had homosexual experiences in college. ''	[[0.006,0.019,0.066,0.779,0.131]]	[0.006,0.019,0.066,0.779,0.131]	positive
495	A sailor who is challenging his discharge from the Navy for violating the military's policy toward homosexuality received a last-minute reprieve yesterday after filing a lawsuit against the Secretaries of Defense and the Navy.	[[0.088,0.598,0.276,0.03,0.009]]	[0.088,0.598,0.276,0.03,0.009]	negative
496	The intent of the policy was to allow gay people to serve if they did not disclose their sexual orientation or engage in homosexual conduct.	[[0.044,0.471,0.44,0.039,0.006]]	[0.044,0.471,0.44,0.039,0.006]	negative
497	Yet only weeks ago, Defense Secretary Dick Cheney acknowledged that there were many homosexuals in the military despite Defense Department policy barring them from the armed forces.	[[0.096,0.675,0.214,0.011,0.004]]	[0.096,0.675,0.214,0.011,0.004]	negative
498	A gay couple in San Francisco, both of whom died of AIDS, have established a $200,000 scholarship fund for homosexual students here and at the University of California at Berkeley and San Francisco State University.	[[0.235,0.624,0.119,0.011,0.011]]	[0.235,0.624,0.119,0.011,0.011]	negative
499	A Baptist group has asked its one million members to boycott the Walt Disney Co.'s parks and products, saying Disney showed a lack of moral leadership by extending health insurance to the partners of homosexual workers.	[[0.124,0.533,0.243,0.074,0.025]]	[0.124,0.533,0.243,0.074,0.025]	negative
500	President Clinton, who has long supported gay rights but paid a heavy political price for his failed effort to allow homosexuals in the military, appears determined to keep the issue from roiling his re-election campaign, and the White House is going out of its way to defuse potential Republican attacks.	[[0.496,0.444,0.051,0.002,0.006]]	[0.496,0.444,0.051,0.002,0.006]	very negative
501	The Navy made no comment on possible motives, but some have contended that the slaying was a case of gay-bashing because the victim was about to be discharged after telling his commander that he was homosexual.	[[0.167,0.596,0.205,0.022,0.011]]	[0.167,0.596,0.205,0.022,0.011]	negative
502	Over the last decade or two, as homosexuality has, as it were, begun to speak its name in public, there have been many reflections on the experience of gayness.	[[0.12,0.733,0.134,0.007,0.004]]	[0.12,0.733,0.134,0.007,0.004]	negative
503	So if gays can be outstanding soldiers, why not invite open homosexuals into the ranks?	[[0.143,0.617,0.183,0.044,0.014]]	[0.143,0.617,0.183,0.044,0.014]	negative
504	Thousands of homosexuals gathered here at Walt Disney World today, angering some conservative Christian groups and keeping Disney's public relations executives busy.	[[0.083,0.249,0.165,0.36,0.143]]	[0.083,0.249,0.165,0.36,0.143]	positive
505	Fulfilling promises by governments over the past decade, the House of Commons today overwhelmingly passed landmark legislation banning discrimination against homosexuals.	[[0.139,0.66,0.18,0.014,0.007]]	[0.139,0.66,0.18,0.014,0.007]	negative
506	The question now is whether we are ready to apply that civilized standard to homosexuals.	[[0.014,0.176,0.794,0.014,0.002]]	[0.014,0.176,0.794,0.014,0.002]	neutral
507	The spots feature same-sex couples, celebrities known to be homosexuals, drag performers and even a transsexual or two.	[[0.077,0.506,0.331,0.072,0.014]]	[0.077,0.506,0.331,0.072,0.014]	negative
508	The Clinton Administration, using legal arguments that Bill Clinton the candidate had sharply criticized, appeared in court today to defend the old policy that banned homosexuals from the military.	[[0.168,0.658,0.152,0.014,0.008]]	[0.168,0.658,0.152,0.014,0.008]	negative
509	Vermont will extend health and dental coverage to the unmarried heterosexual and homosexual partners of its state workers, becoming the first state in the nation to do so, officials say.	[[0.13,0.543,0.196,0.091,0.04]]	[0.13,0.543,0.196,0.091,0.04]	negative
510	Mr. Mugabe, officially opening the five-day event aimed at promoting human rights, called homosexuality a repugnant offense against nature by "sodomists and sexual perverts."	[[0.098,0.744,0.146,0.009,0.003]]	[0.098,0.744,0.146,0.009,0.003]	negative
511	Post-gay is a fledgling, somewhat murky idea that describes a homosexual identity in which sexual behavior no longer defines one's life.	[[0.184,0.569,0.21,0.023,0.013]]	[0.184,0.569,0.21,0.023,0.013]	negative
512	In its sixth annual report on hate crimes against gay people, the New York City Gay and Lesbian Anti-Violence Project said 662 gay men and women were victims of anti-homosexual crimes last year, compared with 592 in 1991.	[[0.269,0.5,0.194,0.023,0.014]]	[0.269,0.5,0.194,0.023,0.014]	negative
513	He spoke of his homosexuality and the harassment he was enduring from other sailors as word of his sexual orientation spread.	[[0.152,0.376,0.117,0.236,0.119]]	[0.152,0.376,0.117,0.236,0.119]	negative
514	That would make Rhode Island the ninth state to offer specific civil rights protections to homosexuals and the first to do so in two years.	[[0.127,0.616,0.18,0.056,0.02]]	[0.127,0.616,0.18,0.056,0.02]	negative
515	As for emotional candor, the second stated goal of the Millennium March is for more homosexuals to come out.	[[0.079,0.682,0.195,0.036,0.008]]	[0.079,0.682,0.195,0.036,0.008]	negative
516	LEAD: A makeshift shantytown that was raised on Feb. 6 in the shadow of the administration building at the University of California at Irvine is challenging a new policy that bars non-traditional couples, including homosexuals and lesbians, from living together in housing for married students.	[[0.476,0.385,0.115,0.009,0.015]]	[0.476,0.385,0.115,0.009,0.015]	very negative
517	Adapted from Christopher Bram's hypothetical novel, Bill Condon's film catches Whale, a marvelously urbane English homosexual, after a small stroke has left him with painful thoughts of the past and particularly receptive to an obsession with his young gardener (Brendan Fraser).	[[0.047,0.142,0.141,0.502,0.168]]	[0.047,0.142,0.141,0.502,0.168]	positive
518	LEAD: The commander of the Navy's surface Atlantic fleet has characterized lesbian sailors as ''among the command's top performers'' but told his officers that homosexual women must be vigorously rooted out of the service.	[[0.092,0.54,0.306,0.048,0.014]]	[0.092,0.54,0.306,0.048,0.014]	negative
519	His new book, "Conduct Unbecoming," is hitting stores now, a portrait of homosexuals in the military coming as the issue seizes the country's conscience.	[[0.19,0.625,0.15,0.021,0.014]]	[0.19,0.625,0.15,0.021,0.014]	negative
520	A villain to homosexuals but a hero to ultra-conservatives, Will Perkins says he is no extremist.	[[0.078,0.63,0.267,0.019,0.006]]	[0.078,0.63,0.267,0.019,0.006]	negative
521	In San Francisco, Army officials said yesterday that they would question Sgt. Jose M. Zuniga, who declared his homosexuality in Washington over the weekend.	[[0.078,0.724,0.164,0.029,0.006]]	[0.078,0.724,0.164,0.029,0.006]	negative
522	In the early 1950's the only books I could find in the Evanston, Ill., Public Library were Thomas Mann's "Death in Venice" (which suggested that homosexuality was fetid, platonic and death-dealing) and the biography of Nijinsky by his wife (in which she obliquely deplored the demonic influence of the impresario Diaghilev on her saintly husband, the great dancer -- an influence that in this instance had produced not death but madness).	[[0.251,0.662,0.066,0.013,0.007]]	[0.251,0.662,0.066,0.013,0.007]	negative
523	In the latest sex survey of American males, only 2 percent reported a homosexual experience over the past decade and only 1 percent described themselves as exclusively homosexual.	[[0.109,0.758,0.117,0.012,0.003]]	[0.109,0.758,0.117,0.012,0.003]	negative
524	A state judge today barred military recruiters from conducting interviews on the campus of the University of Connecticut Law School because the armed forces discriminate against homosexuals.	[[0.085,0.559,0.297,0.047,0.012]]	[0.085,0.559,0.297,0.047,0.012]	negative
525	To the Editor: As faculty adviser to the gay and lesbian group at Clemson University, I can attest to the hatred of homosexuals reported in your July 7 front-page article on resistance to the gay rights movement in South Carolina.	[[0.244,0.558,0.18,0.01,0.007]]	[0.244,0.558,0.18,0.01,0.007]	negative
526	A New Jersey court's ruling last week against excluding openly gay young men from the Boy Scouts of America was significant in a number of ways, but perhaps none more than this: The lawsuit that precipitated it, along with the attention it received, illustrated the degree to which the battleground over civil rights for gay people has shifted from fundamental legal protections in employment and housing to the inclusion of homosexuals in some of the most traditional, conservative institutions in American society.	[[0.185,0.647,0.146,0.013,0.01]]	[0.185,0.647,0.146,0.013,0.01]	negative
527	Ms. Bergalis is the woman from Florida who says she contracted the AIDS virus from her dentist, a homosexual.	[[0.049,0.425,0.447,0.068,0.01]]	[0.049,0.425,0.447,0.068,0.01]	neutral
528	If the stridently witty chatter in "Party" recalls "The Boys in the Band," the homosexual self-loathing that seeped through the earlier play has dwindled into an undertone.	[[0.035,0.176,0.288,0.432,0.069]]	[0.035,0.176,0.288,0.432,0.069]	positive
529	REFRESHING alternatives to stereotypical images of homosexual men and women can be seen in the Gay and Lesbian Film Festival that begins this Friday in Hartford.	[[0.081,0.575,0.273,0.057,0.014]]	[0.081,0.575,0.273,0.057,0.014]	negative
530	According to recent scholarship, Schubert was a member of a stigmatized and clandestine homosexual subculture.	[[0.037,0.231,0.235,0.451,0.046]]	[0.037,0.231,0.235,0.451,0.046]	positive
531	To the Editor: Stephanie Gutmann (letter, Sept. 2) implies that military discharges have escalated under the ''don't ask, don't tell'' policy not because of an anti-gay climate but because service members, homosexual or not, are ''outing'' themselves to escape the high-demand, low-income jobs they no longer want.	[[0.201,0.616,0.17,0.007,0.006]]	[0.201,0.616,0.17,0.007,0.006]	negative
532	Since the 1970's, it has been church policy to allow ordination of homosexuals if they are not known publicly to be sexually active.	[[0.04,0.391,0.43,0.125,0.014]]	[0.04,0.391,0.43,0.125,0.014]	neutral
533	Four days before the St. Patrick's Day Parade, city officials worked furiously to fashion a compromise that would allow an Irish homosexual group to march in the parade.	[[0.105,0.688,0.185,0.016,0.006]]	[0.105,0.688,0.185,0.016,0.006]	negative
534	The decision effectively terminates the move to recognize gay marriage in Hawaii, which was once regarded by gay rights activists as one of the more likely places to win legalization of homosexual unions.	[[0.087,0.576,0.294,0.034,0.009]]	[0.087,0.576,0.294,0.034,0.009]	negative
535	But few artists have incorporated their lives as homosexuals so early and so boldly into their work as Bill T. Jones and Arnie Zane, who over a period of 17 years saw their personal relationship become the material of their art.	[[0.03,0.091,0.083,0.672,0.125]]	[0.03,0.091,0.083,0.672,0.125]	positive
536	Two years after being politically wounded by the issue of homosexuals in the military, President Clinton has decided to back a bill outlawing job discrimination against homosexuals, White House officials said today.	[[0.103,0.652,0.205,0.031,0.01]]	[0.103,0.652,0.205,0.031,0.01]	negative
537	The Clinton Administration has asked a Federal appeals court to uphold the Pentagon's previous policy of banning homosexuals in the military.	[[0.09,0.373,0.236,0.233,0.068]]	[0.09,0.373,0.236,0.233,0.068]	negative
538	The proposed amendment to the Bremerton High School constitution would bar from office any student found to be practicing what it called "immoral activities" like indecent exposure, homosexuality and sexual harassment.	[[0.164,0.665,0.144,0.017,0.01]]	[0.164,0.665,0.144,0.017,0.01]	negative
539	At the time, Mr. Tobias was terrified of his homosexuality: he couldn't tell his friends, his family, his co-workers.	[[0.227,0.535,0.194,0.028,0.016]]	[0.227,0.535,0.194,0.028,0.016]	negative
540	The Pentagon's new rules on homosexuals are a sad reminder of the shellacking President Clinton and the gay soldiers whose cause he once championed suffered at the hands of the Joint Chiefs of Staff and Congress.	[[0.108,0.644,0.213,0.027,0.008]]	[0.108,0.644,0.213,0.027,0.008]	negative
541	Meet the Rev. Fred Phelps, whose method of fighting homosexuality is to call one opponent "a Jezebellian, switch-hitting whore" and another "a fat, ugly sodomite" and still another, a county district attorney, "a depraved, adulterous, whorish woman."	[[0.644,0.267,0.073,0.003,0.013]]	[0.644,0.267,0.073,0.003,0.013]	very negative
542	Three years ago, the Quad Cinema enjoyed one of its biggest hits with ''Boys Life,'' a program of short films about young men struggling to come to terms with their homosexuality in potentially hostile environments.	[[0.012,0.047,0.12,0.75,0.072]]	[0.012,0.047,0.12,0.75,0.072]	positive
543	MARYANN MEDERNACH, at a ceremony in San Francisco for homosexual couples.	[[0.066,0.433,0.323,0.147,0.031]]	[0.066,0.433,0.323,0.147,0.031]	negative
544	Talking with some New York University law students two weeks ago, Justice Powell said, "I think I probably made a mistake" in voting with the majority against applying the constitutional right of privacy to homosexual relations between consenting adults.	[[0.236,0.589,0.155,0.011,0.009]]	[0.236,0.589,0.155,0.011,0.009]	negative
545	His mostly underground reputation was based on his portraits of artists and writers and on his frank chronicle of the hip homosexual scene of the 1970's.	[[0.009,0.087,0.779,0.12,0.006]]	[0.009,0.087,0.779,0.12,0.006]	neutral
546	As an absolute political unknown, she defeated Representative Robert K. Dornan, the aggressive California Republican known for his attacks on President Clinton, homosexuals and lesbians, and assorted other targets of his bare-knuckle commentary.	[[0.246,0.549,0.176,0.019,0.011]]	[0.246,0.549,0.176,0.019,0.011]	negative
547	To the Editor: ''Homosexual Foster Parent Sets Off a Debate in Texas'' (news article, Nov. 30) reports that Rebecca Bledsoe, a Texas child welfare supervisor, ''said that foster children placed with gay or lesbian couples do not have a parental 'role model' of one sex or the other.''	[[0.21,0.629,0.144,0.01,0.006]]	[0.21,0.629,0.144,0.01,0.006]	negative
548	To the Editor: Re "Lift the Ban on Gay Soldiers" (editorial, Nov. 15): I would like to communicate why the military should not allow homosexuals in their ranks.	[[0.295,0.515,0.163,0.015,0.012]]	[0.295,0.515,0.163,0.015,0.012]	negative
549	A report this week linking male homosexuality to a region of the X chromosome has reignited the question of how much a person's sexual predilections are inborn and how much a result of choices made, consciously or otherwise, from early childhood onward.	[[0.304,0.582,0.089,0.011,0.014]]	[0.304,0.582,0.089,0.011,0.014]	negative
550	Refining a compromise on a volatile issue, President Clinton plans to issue an executive order that would lift the ban on homosexuals in the armed forces, but he will delay the directive for several months to give the Pentagon a chance to draft it, Clinton transition aides said today.	[[0.17,0.625,0.142,0.041,0.022]]	[0.17,0.625,0.142,0.041,0.022]	negative
551	"Politically Correct" leads off with the case of a Vassar man who was suspected of making threatening telephone calls to a homosexual student.	[[0.116,0.634,0.168,0.063,0.018]]	[0.116,0.634,0.168,0.063,0.018]	negative
552	The bishops of the Episcopal Church passed a broad statement today that affirms marriage as the standard for sexual relationships but acknowledges that a significant minority of people are homosexuals and that the church must "respond pastorally" to people whose sexual behavior falls outside traditional norms.	[[0.164,0.621,0.164,0.034,0.017]]	[0.164,0.621,0.164,0.034,0.017]	negative
553	His oldest son, he revealed, is homosexual.	[[0.016,0.078,0.329,0.515,0.061]]	[0.016,0.078,0.329,0.515,0.061]	positive
554	By the time Senator Sam Nunn and his wrecking crew got through with it, President Clinton's much-battered effort to allow homosexuals to serve openly in the military had been damaged even further.	[[0.129,0.62,0.2,0.037,0.014]]	[0.129,0.62,0.2,0.037,0.014]	negative
555	In the first legal rebuff to the policy, enacted into law in 1993 and in effect for the last year, the judge, Eugene H. Nickerson of Federal District Court in Brooklyn, dismissed the Government's argument that morale and discipline would suffer if openly homosexual men and women were allowed to serve in the military.	[[0.31,0.454,0.215,0.012,0.008]]	[0.31,0.454,0.215,0.012,0.008]	negative
556	The Parks Department architect who designed the memorial -- a 14 1/2-foot steel tower surrounded by about 40 granite tablets resembling tombstones -- proposed adding 10 tablets as symbolic markers representing groups the Nazis persecuted, including homosexuals, Gypsies, Jehovah's Witnesses and Jews.	[[0.545,0.389,0.054,0.003,0.009]]	[0.545,0.389,0.054,0.003,0.009]	very negative
557	For Better or Worse: Same-Sex Marriage'' is a sympathetic look at four homosexual couples who decide they want to be married, or a reasonable facsimile, as a public expression of their commitment.	[[0.003,0.006,0.05,0.721,0.219]]	[0.003,0.006,0.05,0.721,0.219]	positive
558	By nearly 2 to 1, voters here have repealed a policy providing health insurance benefits to the live-in partners of homosexual and other unmarried city employees.	[[0.052,0.41,0.304,0.211,0.023]]	[0.052,0.41,0.304,0.211,0.023]	negative
559	Reviving the controversy that followed the novelist Yukio Mishima throughout his life, a Tokyo court has banned further publication of a memoir by a writer who says he had a homosexual relationship with him.	[[0.188,0.645,0.139,0.016,0.012]]	[0.188,0.645,0.139,0.016,0.012]	negative
560	An an thropology pro fessor at the University of California at Berkeley is being sharply criticized by students and faculty colleagues for making a variety of statements that they say are demeaning to women, nonwhites and homosexuals.	[[0.231,0.586,0.124,0.036,0.023]]	[0.231,0.586,0.124,0.036,0.023]	negative
561	To the Editor: The controversy over the Vatican's decision to ask the Rev. James B. Callan to step down from his position at Corpus Christi Roman Catholic Church in Rochester, N.Y., because he had moved too far from church rules regarding the roles of women, homosexuals and non-Catholics (news article, Sept. 5) has much in common with the controversy over President Clinton's relationship with Monica S. Lewinsky: If a man has done ''good,'' should one overlook his heresy or adultery?	[[0.107,0.677,0.201,0.01,0.005]]	[0.107,0.677,0.201,0.01,0.005]	negative
562	There are simple predatory attacks on people who are seen as effeminate, vulnerable and sometimes engaged in risky cruising; there are murderous outbursts justified by biblical injunctions or by claims of past abuse by pedophiles; there is an ideological stew that lumps together homosexuals, flag burners and people who are against school prayer as fit targets of attack, and there are intimations that anxiety about sex feeds the impulse toward violence.	[[0.822,0.153,0.02,0.0,0.005]]	[0.822,0.153,0.02,0.0,0.005]	very negative
563	Since Pedro Preciado came out as a homosexual 18 years ago, he says, the police here have arrested him a dozen times, often punching and kicking him before hauling him off to jail and imposing a fine for violating ''public morals and good customs.''	[[0.098,0.546,0.239,0.092,0.024]]	[0.098,0.546,0.239,0.092,0.024]	negative
564	There's no constitutional right to serve in the military, and the statutory homosexual ban is based on military necessity to maintain good order and discipline.	[[0.034,0.053,0.039,0.515,0.36]]	[0.034,0.053,0.039,0.515,0.36]	positive
565	The Roaring Twenties Sara and Gerald Murphy were luminaries in their own right, the models for Dick and Nicole Diver in F. Scott Fitzgerald's "Tender Is the Night," and Mr. Rubin hints that the infatuation between Picasso and Sara blossomed because Gerald, meanwhile, may have been having a homosexual relationship with the composer Cole Porter (they were collaborating on a ballet).	[[0.344,0.554,0.092,0.004,0.006]]	[0.344,0.554,0.092,0.004,0.006]	negative
